iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
IRQ,2018,227367469034.031,40265624.0,0.0,26.149833351894912,17.511008685256968,87
ISL,2018,26677652544.3499,352721.0,0.0,24.007092068566276,12.773435490235748,88
ISR,2018,376299083108.497,8882800.0,0.0,26.653650097948354,15.99962749315935,89
ITA,2018,2099435266458.67,60148658.0,0.0,28.37268950375877,17.912329705872104,90
JAM,2018,16855447986.2221,2820097.0,0.0,23.54793976417107,14.852282194083518,91
JOR,2018,43370860704.2254,10462306.0,0.0,24.49305364023258,16.163289546775793,92
JPN,2018,5040880939324.86,126811000.0,0.0,29.248601972286693,18.65820835487916,93
KAZ,2018,179339977690.485,18932727.0,0.0,25.912549158078004,16.756402622681176,94
KEN,2018,92202979985.2863,50207107.0,0.0,25.247258287879127,17.731667168264025,95
KGZ,2018,8271106235.41552,6444079.0,0.0,22.83603410202001,15.678672437851228,96
KHM,2018,33145892168.8958,16274522.0,0.0,24.224184629456442,16.605111436873635,97
KIR,2018,233514717.441266,122084.0,0.0,19.26875566709637,11.712472802429252,98
KNA,2018,1076548148.14815,47008.0,0.0,20.797025601263247,10.75809435172215,99
KOR,2018,1824251454306.83,51585058.0,0.0,28.232190856800447,17.758742634259296,100
KWT,2018,138646316350.727,4323515.0,0.0,25.6551920406908,15.27957951808122,101
LAO,2018,18141641089.7963,7128045.0,0.0,23.62147574561177,15.77954770153508,102
LBN,2018,54901519155.5556,5984119.0,0.0,24.728806856418863,15.604619851911318,103
LBR,2018,3422754800.0,4944726.0,0.0,21.953711561150445,15.41383231423489,104
LBY,2018,76686029772.1483,6849055.0,0.0,25.062985387571477,15.739621390522728,105
LCA,2018,2060955555.55556,177017.0,0.0,21.446435574602607,12.084006701300643,106
LKA,2018,94450015982.8405,21670000.0,0.0,25.271336600124624,16.89143941965929,107
LSO,2018,2556247291.99785,2183603.0,0.0,21.66180611878088,14.596487280725395,108
LTU,2018,54261795148.5372,2819200.0,0.0,24.717086227845503,14.85196406943449,109
LUX,2018,71085623495.1145,607950.0,0.0,24.987150952130367,13.317849565595322,110
LVA,2018,33247935477.3576,1927174.0,0.0,24.22725851124409,14.47156575801103,111
MAC,2018,55076322634.344,658900.0,0.0,24.73198574451385,13.398328574581743,112
MAR,2018,127341147581.818,35839760.0,0.0,25.57013552345336,17.394568477521982,113
MDA,2018,11252353420.8798,2707203.0,0.0,23.143843136775008,14.81142692593432,114
MDG,2018,13760033282.2925,27494926.0,0.0,23.345034088292614,17.12951207289234,115
MDV,2018,5404344162.69888,473099.0,0.0,22.410468941859314,13.06706206161924,116
MEX,2018,1256300182879.73,124573711.0,0.0,27.85919215452768,18.640408162925173,117
MHL,2018,220000000.0,45285.0,0.0,19.20913810886209,10.720753212932467,118
